アニメタイトル,プラットフォーム,配信開始日時,制作会社,URL
青春ブタ野郎はサンタクロースの夢を見ない,ABEMA,2025-07-05 21:30:00,CloverWorks,https://ao-buta.com/santa/
青春ブタ野郎はサンタクロースの夢を見ない,AnimeFesta,2025-07-09 00:00:00,CloverWorks,https://ao-buta.com/santa/
青春ブタ野郎はサンタクロースの夢を見ない,DMM TV,2025-07-09 00:00:00,CloverWorks,https://ao-buta.com/santa/
青春ブタ野郎はサンタクロースの夢を見ない,FOD,2025-07-09 00:00:00,CloverWorks,https://ao-buta.com/santa/
青春ブタ野郎はサンタクロースの夢を見ない,Lemino,2025-07-09 00:00:00,CloverWorks,https://ao-buta.com/santa/
青春ブタ野郎はサンタクロースの夢を見ない,Prime Video,2025-07-08 12:00:00,CloverWorks,https://ao-buta.com/santa/
青春ブタ野郎はサンタクロースの夢を見ない,U-NEXT,2025-07-05 23:30:00,CloverWorks,https://ao-buta.com/santa/
青春ブタ野郎はサンタクロースの夢を見ない,dアニメストア,2025-07-05 23:30:00,CloverWorks,https://ao-buta.com/santa/
追放白魔導師 ミニアニメ,ABEMA,2025-07-06 00:00:00,インリアリティ,https://tsuiho-shiromadoshi.com/
追放白魔導師 ミニアニメ,dアニメストア,2025-07-06 00:00:00,インリアリティ,https://tsuiho-shiromadoshi.com/
ガチアクタ,Lemino,2025-08-16 00:00:00,ボンズフィルム,https://gachiakuta-anime.com/
ガチアクタ,Prime Video,2025-08-16 00:00:00,ボンズフィルム,https://gachiakuta-anime.com/
ガチアクタ,U-NEXT,2025-08-16 00:00:00,ボンズフィルム,https://gachiakuta-anime.com/
ガチアクタ,dアニメストア,2025-08-16 00:00:00,ボンズフィルム,https://gachiakuta-anime.com/
ガチアクタ,アニメタイムズ,2025-08-16 00:00:00,ボンズフィルム,https://gachiakuta-anime.com/
追放者食堂へようこそ！,FOD,2025-07-06 22:30:00,OLM TEAM YOSHIOKA,https://tsuihosha-shokudo.com/
追放者食堂へようこそ！,Hulu,2025-07-06 22:30:00,OLM TEAM YOSHIOKA,https://tsuihosha-shokudo.com/
追放者食堂へようこそ！,Lemino,2025-07-03 22:30:00,OLM TEAM YOSHIOKA,https://tsuihosha-shokudo.com/
追放者食堂へようこそ！,U-NEXT,2025-07-06 22:30:00,OLM TEAM YOSHIOKA,https://tsuihosha-shokudo.com/
追放者食堂へようこそ！,dアニメストア,2025-07-03 22:30:00,OLM TEAM YOSHIOKA,https://tsuihosha-shokudo.com/
追放者食堂へようこそ！,アニメタイムズ,2025-07-03 22:30:00,OLM TEAM YOSHIOKA,https://tsuihosha-shokudo.com/
人妻の唇は缶チューハイの味がして,AnimeFesta,2025-07-02 01:00:00,raiose,https://hitoduma-canchuhai.deregula.com/
人妻の唇は缶チューハイの味がして,DMM TV,2025-07-02 01:00:00,raiose,https://hitoduma-canchuhai.deregula.com/
人妻の唇は缶チューハイの味がして,Lemino,2025-07-05 00:00:00,raiose,https://hitoduma-canchuhai.deregula.com/
人妻の唇は缶チューハイの味がして,U-NEXT,2025-07-02 01:00:00,raiose,https://hitoduma-canchuhai.deregula.com/
人妻の唇は缶チューハイの味がして,dアニメストア,2025-07-02 01:00:00,raiose,https://hitoduma-canchuhai.deregula.com/
人妻の唇は缶チューハイの味がして,アニメタイムズ,2025-07-05 00:00:00,raiose,https://hitoduma-canchuhai.deregula.com/
CITY THE ANIMATION,Prime Video,2025-07-07 00:30:00,京都アニメーション,https://city-the-animation.com/
瑠璃の宝石,ABEMA,2025-07-09 12:00:00,スタジオバインド,https://rurinohouseki.com/
瑠璃の宝石,AnimeFesta,2025-07-10 00:00:00,スタジオバインド,https://rurinohouseki.com/
瑠璃の宝石,DMM TV,2025-07-10 00:00:00,スタジオバインド,https://rurinohouseki.com/
瑠璃の宝石,FOD,2025-07-09 12:00:00,スタジオバインド,https://rurinohouseki.com/
瑠璃の宝石,Lemino,2025-07-10 00:00:00,スタジオバインド,https://rurinohouseki.com/
瑠璃の宝石,Netflix,2025-07-10 00:00:00,スタジオバインド,https://rurinohouseki.com/
瑠璃の宝石,Prime Video,2025-07-06 21:30:00,スタジオバインド,https://rurinohouseki.com/
瑠璃の宝石,dアニメストア,2025-07-06 21:30:00,スタジオバインド,https://rurinohouseki.com/
瑠璃の宝石,アニメタイムズ,2025-07-10 00:00:00,スタジオバインド,https://rurinohouseki.com/
クレバテス-魔獣の王と赤子と屍の勇者-,ABEMA,2025-07-07 22:00:00,Lay-duce,https://clevatess.com/
クレバテス-魔獣の王と赤子と屍の勇者-,DMM TV,2025-07-07 22:00:00,Lay-duce,https://clevatess.com/
クレバテス-魔獣の王と赤子と屍の勇者-,U-NEXT,2025-07-02 22:00:00,Lay-duce,https://clevatess.com/
クレバテス-魔獣の王と赤子と屍の勇者-,dアニメストア,2025-07-02 22:00:00,Lay-duce,https://clevatess.com/
彼女、お借りします 第4期,DMM TV,2025-07-05 03:00:00,トムス・エンタテインメント,https://kanokari-official.com/
彼女、お借りします 第4期,dアニメストア,2025-07-05 03:00:00,トムス・エンタテインメント,https://kanokari-official.com/
よふかしのうた Season2,DMM TV,2025-08-16 00:00:00,ライデンフィルム,https://yofukashi-no-uta.com
よふかしのうた Season2,FOD,2025-04-25 00:45:00,ライデンフィルム,https://yofukashi-no-uta.com
よふかしのうた Season2,Prime Video,2025-07-06 03:30:00,ライデンフィルム,https://yofukashi-no-uta.com
強くてニューサーガ,ABEMA,2025-07-05 02:45:00,創通,https://tsuyosaga-pr.com/
強くてニューサーガ,FOD,2025-07-05 12:00:00,創通,https://tsuyosaga-pr.com/
強くてニューサーガ,Hulu,2025-07-05 12:00:00,創通,https://tsuyosaga-pr.com/
強くてニューサーガ,Prime Video,2025-07-05 02:45:00,創通,https://tsuyosaga-pr.com/
強くてニューサーガ,U-NEXT,2025-07-05 02:45:00,創通,https://tsuyosaga-pr.com/
強くてニューサーガ,dアニメストア,2025-07-03 02:45:00,創通,https://tsuyosaga-pr.com/
夢中さ、きみに。,ABEMA,2025-08-22 02:00:00,動画工房,https://karaoke-muchusa.com/muchusa/
夢中さ、きみに。,U-NEXT,2025-08-21 22:00:00,動画工房,https://karaoke-muchusa.com/muchusa/
夢中さ、きみに。,dアニメストア,2025-08-21 22:00:00,動画工房,https://karaoke-muchusa.com/muchusa/
公女殿下の家庭教師,ABEMA,2025-07-09 01:30:00,スタジオブラン,https://koujodenka-anime.com/
公女殿下の家庭教師,Hulu,2025-06-29 01:30:00,スタジオブラン,https://koujodenka-anime.com/
公女殿下の家庭教師,Lemino,2025-07-06 01:30:00,スタジオブラン,https://koujodenka-anime.com/
公女殿下の家庭教師,Prime Video,2025-07-06 01:30:00,スタジオブラン,https://koujodenka-anime.com/
公女殿下の家庭教師,U-NEXT,2025-06-29 01:30:00,スタジオブラン,https://koujodenka-anime.com/
公女殿下の家庭教師,dアニメストア,2025-06-29 01:30:00,スタジオブラン,https://koujodenka-anime.com/
公女殿下の家庭教師,アニメタイムズ,2025-07-06 01:30:00,スタジオブラン,https://koujodenka-anime.com/
うたごえはミルフィーユ,ABEMA,2025-07-17 22:30:00,寿門堂,https://utamille.com/anime/
うたごえはミルフィーユ,AnimeFesta,2025-07-18 22:30:00,寿門堂,https://utamille.com/anime/
うたごえはミルフィーユ,DMM TV,2025-07-17 22:30:00,寿門堂,https://utamille.com/anime/
うたごえはミルフィーユ,FOD,2025-07-19 00:00:00,寿門堂,https://utamille.com/anime/
うたごえはミルフィーユ,Hulu,2025-07-19 00:00:00,寿門堂,https://utamille.com/anime/
うたごえはミルフィーユ,Lemino,2025-07-19 00:00:00,寿門堂,https://utamille.com/anime/
うたごえはミルフィーユ,Prime Video,2025-07-17 22:30:00,寿門堂,https://utamille.com/anime/
うたごえはミルフィーユ,U-NEXT,2025-07-17 22:30:00,寿門堂,https://utamille.com/anime/
うたごえはミルフィーユ,dアニメストア,2025-07-17 22:30:00,寿門堂,https://utamille.com/anime/
Turkey!,ABEMA,2025-07-09 02:30:00,BAKKEN RECORD,https://turkey-project.com/
Turkey!,AnimeFesta,2025-07-09 02:30:00,BAKKEN RECORD,https://turkey-project.com/
Turkey!,DMM TV,2025-07-09 02:30:00,BAKKEN RECORD,https://turkey-project.com/
Turkey!,Hulu,2025-07-10 00:00:00,BAKKEN RECORD,https://turkey-project.com/
Turkey!,Lemino,2025-07-10 00:00:00,BAKKEN RECORD,https://turkey-project.com/
Turkey!,Prime Video,2025-07-09 02:30:00,BAKKEN RECORD,https://turkey-project.com/
Turkey!,U-NEXT,2025-07-09 02:30:00,BAKKEN RECORD,https://turkey-project.com/
Turkey!,dアニメストア,2025-07-09 02:30:00,BAKKEN RECORD,https://turkey-project.com/
その着せ替え人形は恋をする Season 2,AnimeFesta,2025-07-11 02:39:00,CloverWorks,https://bisquedoll-anime.com/
その着せ替え人形は恋をする Season 2,Netflix,2025-08-16 12:00:00,CloverWorks,https://bisquedoll-anime.com/
その着せ替え人形は恋をする Season 2,Prime Video,2025-07-06 00:30:00,CloverWorks,https://bisquedoll-anime.com/
その着せ替え人形は恋をする Season 2,dアニメストア,2025-07-06 00:30:00,CloverWorks,https://bisquedoll-anime.com/
ブスに花束を。,ABEMA,2025-07-04 23:00:00,SILVER LINK.,https://busunihanatabawo.com/
ブスに花束を。,AnimeFesta,2025-07-04 23:00:00,SILVER LINK.,https://busunihanatabawo.com/
ブスに花束を。,DMM TV,2025-07-04 23:00:00,SILVER LINK.,https://busunihanatabawo.com/
ブスに花束を。,FOD,2025-07-04 23:00:00,SILVER LINK.,https://busunihanatabawo.com/
ブスに花束を。,Hulu,2025-07-04 23:00:00,SILVER LINK.,https://busunihanatabawo.com/
ブスに花束を。,Lemino,2025-07-04 23:00:00,SILVER LINK.,https://busunihanatabawo.com/
ブスに花束を。,Prime Video,2025-07-04 23:00:00,SILVER LINK.,https://busunihanatabawo.com/
ブスに花束を。,U-NEXT,2025-07-04 23:00:00,SILVER LINK.,https://busunihanatabawo.com/
ブスに花束を。,dアニメストア,2025-07-04 23:00:00,SILVER LINK.,https://busunihanatabawo.com/
タコピーの原罪,ABEMA,2025-06-28 00:00:00,ENISHIYA,https://www.tbs.co.jp/anime/takopi_project/
タコピーの原罪,DMM TV,2025-06-27 00:00:00,ENISHIYA,https://www.tbs.co.jp/anime/takopi_project/
タコピーの原罪,Disney+（ディズニープラス）,2025-06-28 00:00:00,ENISHIYA,https://www.tbs.co.jp/anime/takopi_project/
タコピーの原罪,Lemino,2025-06-28 00:00:00,ENISHIYA,https://www.tbs.co.jp/anime/takopi_project/
タコピーの原罪,Prime Video,2025-06-27 00:00:00,ENISHIYA,https://www.tbs.co.jp/anime/takopi_project/
タコピーの原罪,U-NEXT,2025-06-28 00:00:00,ENISHIYA,https://www.tbs.co.jp/anime/takopi_project/
タコピーの原罪,dアニメストア,2025-06-28 00:00:00,ENISHIYA,https://www.tbs.co.jp/anime/takopi_project/
学校では教えてくれない大切なこと,Prime Video,2025-08-16 07:30:00,Imagica Infos,https://gakkodeha-anime.com/
気絶勇者と暗殺姫,ABEMA,2025-07-05 23:00:00,CONNECT,https://kizetsuyusha-anime.com/
気絶勇者と暗殺姫,DMM TV,2025-07-19 23:00:00,CONNECT,https://kizetsuyusha-anime.com/
気絶勇者と暗殺姫,FOD,2025-07-19 23:00:00,CONNECT,https://kizetsuyusha-anime.com/
気絶勇者と暗殺姫,dアニメストア,2025-07-19 23:00:00,CONNECT,https://kizetsuyusha-anime.com/
ぬきたし THE ANIMATION,DMM TV,2025-07-19 02:50:00,パッショーネ,https://nukiani.com/
フードコートで、また明日。,ABEMA,2024-08-16 22:30:00,Atelier Pontdarc,https://www.foodcourtjk-anime.com/
まったく最近の探偵ときたら,ABEMA,2024-07-07 00:20:00,ライデンフィルム,https://mattan-anime.com/
帝乃三姉妹は案外、チョロい。,ABEMA,2025-07-11 00:00:00,P.A.WORKS,https://mikadono.family/
帝乃三姉妹は案外、チョロい。,AnimeFesta,2025-07-11 00:00:00,P.A.WORKS,https://mikadono.family/
帝乃三姉妹は案外、チョロい。,DMM TV,2025-07-10 01:00:00,P.A.WORKS,https://mikadono.family/
帝乃三姉妹は案外、チョロい。,Lemino,2025-07-11 00:00:00,P.A.WORKS,https://mikadono.family/
帝乃三姉妹は案外、チョロい。,Netflix,2025-07-10 01:00:00,P.A.WORKS,https://mikadono.family/
帝乃三姉妹は案外、チョロい。,Prime Video,2025-07-10 01:00:00,P.A.WORKS,https://mikadono.family/
帝乃三姉妹は案外、チョロい。,dアニメストア,2025-07-10 01:00:00,P.A.WORKS,https://mikadono.family/
帝乃三姉妹は案外、チョロい。,アニメタイムズ,2025-07-11 00:00:00,P.A.WORKS,https://mikadono.family/
勇者パーティーを追放された白魔導師、Sランク冒険者に拾われる ～この白魔導師が規格外すぎる～,ABEMA,2025-07-06 00:00:00,Felix Film,https://tsuiho-shiromadoshi.com/
勇者パーティーを追放された白魔導師、Sランク冒険者に拾われる ～この白魔導師が規格外すぎる～,dアニメストア,2025-07-06 00:00:00,Felix Film,https://tsuiho-shiromadoshi.com/
地獄先生ぬ〜べ〜 (2025),ABEMA,2025-07-02 01:00:00,スタジオKAI,https://nube-anime.com/
地獄先生ぬ〜べ〜 (2025),U-NEXT,2025-07-02 01:00:00,スタジオKAI,https://nube-anime.com/
桃源暗鬼,ABEMA,2023-07-12 00:30:00,スタジオ雲雀,https://tougenanki-anime.com/
桃源暗鬼,Prime Video,2023-08-17 00:00:00,スタジオ雲雀,https://tougenanki-anime.com/
桃源暗鬼,U-NEXT,2023-08-17 00:00:00,スタジオ雲雀,https://tougenanki-anime.com/
桃源暗鬼,dアニメストア,2023-08-17 00:00:00,スタジオ雲雀,https://tougenanki-anime.com/
サイレント・ウィッチ 沈黙の魔女の隠しごと,ABEMA,2025-07-08 12:00:00,Studio五組,https://silentwitch.net/
サイレント・ウィッチ 沈黙の魔女の隠しごと,AnimeFesta,2025-07-09 00:00:00,Studio五組,https://silentwitch.net/
サイレント・ウィッチ 沈黙の魔女の隠しごと,DMM TV,2025-07-08 12:00:00,Studio五組,https://silentwitch.net/
サイレント・ウィッチ 沈黙の魔女の隠しごと,FOD,2025-07-08 12:00:00,Studio五組,https://silentwitch.net/
サイレント・ウィッチ 沈黙の魔女の隠しごと,Hulu,2025-07-08 12:00:00,Studio五組,https://silentwitch.net/
サイレント・ウィッチ 沈黙の魔女の隠しごと,Lemino,2025-07-08 12:00:00,Studio五組,https://silentwitch.net/
サイレント・ウィッチ 沈黙の魔女の隠しごと,Netflix,2025-07-09 00:00:00,Studio五組,https://silentwitch.net/
サイレント・ウィッチ 沈黙の魔女の隠しごと,Prime Video,2025-07-05 00:00:00,Studio五組,https://silentwitch.net/
サイレント・ウィッチ 沈黙の魔女の隠しごと,U-NEXT,2025-07-08 12:00:00,Studio五組,https://silentwitch.net/
サイレント・ウィッチ 沈黙の魔女の隠しごと,dアニメストア,2025-07-05 00:00:00,Studio五組,https://silentwitch.net/
白豚貴族ですが前世の記憶が生えたのでひよこな弟育てます,ABEMA,2025-04-20 20:00:00,スタジオコメット,https://shirohiyo.com/
白豚貴族ですが前世の記憶が生えたのでひよこな弟育てます,DMM TV,2025-07-06 22:30:00,スタジオコメット,https://shirohiyo.com/
白豚貴族ですが前世の記憶が生えたのでひよこな弟育てます,Hulu,2025-07-06 22:00:00,スタジオコメット,https://shirohiyo.com/
白豚貴族ですが前世の記憶が生えたのでひよこな弟育てます,Prime Video,2025-07-06 22:00:00,スタジオコメット,https://shirohiyo.com/
雨と君と,ABEMA,2025-07-10 02:00:00,レスプリ,https://amekimi-anime.com/
雨と君と,DMM TV,2025-07-10 02:00:00,レスプリ,https://amekimi-anime.com/
